qid,type,rr
QE:DOID:3579:0,QE,0.0
QE:DOID:0061061:0,QE,0.0
QE:DOID:0061061:1,QE,0.0
QE:DOID:11851:0,QE,0.0
QE:DOID:11851:1,QE,0.0
QE:DOID:0111169:0,QE,0.0
QE:DOID:0111169:1,QE,0.0
QE:DOID:0111728:0,QE,0.0
QE:DOID:0111728:1,QE,0.0
QE:DOID:0110479:0,QE,0.0
QE:DOID:0110479:1,QE,0.0
QE:DOID:0070192:0,QE,0.0
QE:DOID:0070192:1,QE,0.0
QE:DOID:0081093:0,QE,0.0
QE:DOID:0081093:1,QE,0.2
QE:DOID:14547:0,QE,0.0
QE:DOID:14547:1,QE,0.0
QE:DOID:0090137:0,QE,0.0
QE:DOID:0090137:1,QE,0.0
QE:DOID:0080411:0,QE,0.0
QE:DOID:0050914:0,QE,0.0
QE:DOID:10125:0,QE,0.0
QE:DOID:10125:1,QE,0.0
QE:DOID:3641:0,QE,0.0
QE:DOID:3641:1,QE,0.0
QE:DOID:11514:0,QE,0.0
QE:DOID:11514:1,QE,0.0
QE:DOID:0060488:0,QE,0.0
QE:DOID:9699:0,QE,0.0
QE:DOID:9699:1,QE,0.0
QE:DOID:1217:0,QE,0.0
QE:DOID:0080971:0,QE,0.0
QE:DOID:10972:0,QE,0.0
QE:DOID:10972:1,QE,0.0
QE:DOID:0070614:0,QE,0.0
QE:DOID:0070614:1,QE,0.0
QE:DOID:0060919:0,QE,0.0
QE:DOID:0060919:1,QE,0.0
QE:DOID:0081451:0,QE,0.0
QE:DOID:0081451:1,QE,0.0
QE:DOID:0060569:0,QE,0.0
QE:DOID:0060569:1,QE,0.0
QE:DOID:7210:0,QE,0.0
QE:DOID:0070015:0,QE,0.0
QE:DOID:0070015:1,QE,0.0
QE:DOID:12161:0,QE,0.0
QE:DOID:12161:1,QE,0.0
QE:DOID:13189:0,QE,0.0
QE:DOID:13189:1,QE,0.0
QE:DOID:9870:0,QE,0.0
QE:DOID:9870:1,QE,0.0
QE:DOID:1091:0,QE,0.0
QE:DOID:1091:1,QE,0.0
QE:DOID:0051048:0,QE,0.0
QE:DOID:12072:0,QE,0.0
QE:DOID:1523:0,QE,0.0
QE:DOID:1523:1,QE,0.0
QE:DOID:7441:0,QE,0.0
QE:DOID:0050150:0,QE,0.0
QE:DOID:0060408:0,QE,0.0
QE:DOID:0060408:1,QE,0.1111111111111111
QE:DOID:3419:0,QE,0.0
QE:DOID:3419:1,QE,0.0
QE:DOID:0110942:0,QE,0.0
QE:DOID:0110942:1,QE,0.0
QE:DOID:0051000:0,QE,0.0
QE:DOID:0081432:0,QE,0.0
QE:DOID:0111594:0,QE,0.0
QE:DOID:0111594:1,QE,0.0
QE:DOID:14177:0,QE,0.0
QE:DOID:14177:1,QE,0.0
QE:DOID:0110073:0,QE,0.0
QE:DOID:0110073:1,QE,0.0
QE:DOID:0112264:0,QE,0.0
QE:DOID:0112264:1,QE,0.0
QE:DOID:2312:0,QE,0.0
QE:DOID:2312:1,QE,0.0
QE:DOID:0111048:0,QE,0.0
QE:DOID:0111048:1,QE,0.0
QE:DOID:0110867:0,QE,0.0
QE:DOID:0110867:1,QE,0.0
QE:DOID:0110016:0,QE,0.0
QE:DOID:0110016:1,QE,0.0
QE:DOID:0080770:0,QE,0.0
QE:DOID:0080770:1,QE,0.0
QE:DOID:0080536:0,QE,0.0
QE:DOID:0111624:0,QE,0.0
QE:DOID:0111624:1,QE,0.0
QE:DOID:2598:0,QE,0.0
QE:DOID:2598:1,QE,0.0
QE:DOID:0080905:0,QE,0.0
QE:DOID:0060541:0,QE,0.0
QE:DOID:0112002:0,QE,0.0
QE:DOID:0112002:1,QE,0.0
QE:DOID:0080576:0,QE,0.0
QE:DOID:0050997:0,QE,0.0
QE:DOID:0050997:1,QE,0.0
QE:DOID:2516:0,QE,0.0
QE:DOID:2516:1,QE,0.0
QE:DOID:0050731:0,QE,0.0
QE:DOID:0050731:1,QE,0.0
QE:DOID:0110087:0,QE,0.0
QE:DOID:0110087:1,QE,0.0
QE:DOID:0111272:0,QE,0.0
QE:DOID:0111272:1,QE,0.0
QE:DOID:12960:0,QE,0.0
QE:DOID:12960:1,QE,0.0
QE:DOID:2977:0,QE,0.0
QE:DOID:0111235:0,QE,0.0
QE:DOID:0111235:1,QE,0.0
QE:DOID:0111159:0,QE,0.0
QE:DOID:0111159:1,QE,0.0
QE:DOID:0060680:0,QE,0.0
QE:DOID:0060680:1,QE,0.0
QE:DOID:9599:0,QE,0.0
QE:DOID:0060979:0,QE,0.25
QE:DOID:5134:0,QE,0.0
QE:DOID:5134:1,QE,0.0
QE:DOID:0111521:0,QE,0.0
QE:DOID:0111521:1,QE,0.0
QE:DOID:0080620:0,QE,0.0
QE:DOID:1284:0,QE,0.0
QE:DOID:0081109:0,QE,0.0
QE:DOID:3608:0,QE,0.0
QE:DOID:3608:1,QE,0.0
QE:DOID:10200:0,QE,0.0
QE:DOID:10200:1,QE,0.0
QE:DOID:5140:0,QE,0.0
QE:DOID:5140:1,QE,0.0
QE:DOID:0081129:0,QE,0.0
QE:DOID:11558:0,QE,0.0
QE:DOID:0060266:0,QE,0.0
QE:DOID:0070395:0,QE,0.0
QE:DOID:0070395:1,QE,0.0
QE:DOID:0050047:0,QE,0.0
QE:DOID:0050047:1,QE,0.0
QE:DOID:6603:0,QE,0.0
QE:DOID:6603:1,QE,0.0
QE:DOID:8736:0,QE,0.0
QE:DOID:0040062:0,QE,0.0
QE:DOID:0040062:1,QE,0.0
QE:DOID:0111691:0,QE,0.0
QE:DOID:0111691:1,QE,0.0
QE:DOID:0080111:0,QE,0.0
QE:DOID:0060075:0,QE,0.0
QE:DOID:0050988:0,QE,0.0
QE:DOID:0050961:0,QE,0.0
QE:DOID:0110258:0,QE,0.0
QE:DOID:0110258:1,QE,0.0
QE:DOID:0111483:0,QE,1.0
QE:DOID:0111483:1,QE,0.0
QE:DOID:0081006:0,QE,0.0
QE:DOID:1391:0,QE,0.0
QE:DOID:1391:1,QE,0.0
QE:DOID:0110074:0,QE,0.0
QE:DOID:0110074:1,QE,0.0
QE:DOID:14550:0,QE,0.0
QE:DOID:12899:0,QE,0.0
QE:DOID:12899:1,QE,0.0
QE:DOID:4308:0,QE,0.0
QE:DOID:11702:0,QE,0.0
QE:DOID:9810:0,QE,0.0
QE:DOID:6337:0,QE,0.0
QE:DOID:6337:1,QE,0.0
QE:DOID:9446:0,QE,0.0
QE:DOID:2277:0,QE,0.0
QE:DOID:5742:0,QE,0.0
QE:DOID:5742:1,QE,0.0
QE:DOID:0060098:0,QE,0.0
QE:DOID:13094:0,QE,0.0
QE:DOID:13094:1,QE,0.0
QE:DOID:10871:0,QE,0.0
QE:DOID:10871:1,QE,0.0
QE:DOID:0111744:0,QE,0.0
QE:DOID:0111744:1,QE,0.0
QE:DOID:0110568:0,QE,0.0
QE:DOID:0110568:1,QE,0.0
QE:DOID:2122:0,QE,0.0
QE:DOID:2122:1,QE,0.0
QE:DOID:0060698:0,QE,0.0
QE:DOID:0060698:1,QE,0.0
QE:DOID:526:0,QE,0.0
QE:DOID:526:1,QE,0.0
QE:DOID:0110804:0,QE,0.0
QE:DOID:0110804:1,QE,0.0
QE:DOID:5196:0,QE,0.0
QE:DOID:0081318:0,QE,0.0
QE:DOID:0080292:0,QE,0.0
QE:DOID:5926:0,QE,0.0
QE:DOID:5926:1,QE,0.0
QE:DOID:0060154:0,QE,0.0
QE:DOID:0111919:0,QE,0.1
QE:DOID:0111919:1,QE,0.3333333333333333
QE:DOID:9779:0,QE,0.0
QE:DOID:8781:0,QE,0.0
QE:DOID:8781:1,QE,0.0
QE:DOID:5769:0,QE,0.0
QE:DOID:5769:1,QE,0.0
QE:DOID:0081334:0,QE,0.0
QE:DOID:0081334:1,QE,0.0
QE:DOID:0050809:0,QE,0.0
QE:DOID:0112324:0,QE,0.0
QE:DOID:0112324:1,QE,0.0
QE:DOID:0060022:0,QE,0.0
QE:DOID:0060022:1,QE,0.0
QE:DOID:4472:0,QE,0.0
QE:DOID:0080815:0,QE,0.0
QE:DOID:0080815:1,QE,0.0
QE:DOID:12129:0,QE,0.0
QE:DOID:12129:1,QE,0.0
QE:DOID:0080680:0,QE,0.0
QE:DOID:0081095:0,QE,0.0
QE:DOID:0112344:0,QE,0.0
QE:DOID:0112344:1,QE,0.0
QE:DOID:14702:0,QE,0.0
QE:DOID:14702:1,QE,0.0
QE:DOID:11543:0,QE,0.0
QE:DOID:0112333:0,QE,0.0
QE:DOID:0112333:1,QE,0.0
QE:DOID:0111680:0,QE,0.0
QE:DOID:0111680:1,QE,0.0
QE:DOID:1233:0,QE,0.0
QE:DOID:1233:1,QE,0.0
QE:DOID:0080519:0,QE,0.0
QE:DOID:0080519:1,QE,0.0
QE:DOID:0080894:0,QE,0.0
QE:DOID:0070211:0,QE,0.0
QE:DOID:0070211:1,QE,0.0
QE:DOID:0111111:0,QE,0.0
QE:DOID:0111111:1,QE,0.0
QE:DOID:2582:0,QE,0.0
