method,QE_hits1,QE_hits10,QE_mrr,QE_ndcg10,QH_parent_hits5,QH_parent_hits10,QH_anc_f1_macro,QH_anc_f1_micro,QM_hits10,QM_mrr
euclid_text,0.5159235668789809,0.7457128858402744,0.5914592131152641,0.6286968358995322,0.4029975020815987,0.5220649458784347,0.07610148632894319,0.07789262505996773,0.49527085124677556,0.2726456618761004
euclid_kg,0.002449779519843214,0.02253797158255757,0.0066599006089451945,0.010286634873139772,0.0507910074937552,0.06661115736885928,0.015184577651085229,0.016747350516812767,0.09458297506448839,0.035290163643560024
hyp_noR,0.004899559039686428,0.02253797158255757,0.01016366860315905,0.013087203919011548,0.07743547044129892,0.10491257285595337,0.027214965347387828,0.03018012124383968,0.12123817712811694,0.04673156450886459
hyem_no_gate,0.005389514943655071,0.025477707006369428,0.009785897047043544,0.013394079307095887,0.07410491257285595,0.09991673605328892,0.03161107174602025,0.03506476514457673,0.12725709372312985,0.047777709536093026
hyem_hard,0.5124938755512004,0.7403233708966193,0.5871312692968744,0.6240947833465118,0.07577019150707744,0.10491257285595337,0.03205977951460851,0.0355008940642854,0.26139294926913154,0.1269346517626827
hyem_soft,0.49387555120039195,0.7236648701616855,0.5700584447399734,0.6071631320308184,0.22231473771856786,0.3097418817651957,0.0644625940602405,0.06951894980156134,0.36113499570077384,0.16484973181017892
