method,QE_hits1,QE_hits10,QE_mrr,QE_ndcg10,QH_parent_hits5,QH_parent_hits10,QH_anc_f1_macro,QH_anc_f1_micro,QM_hits10,QM_mrr
euclid_text,0.7130606860158312,0.8905013192612137,0.7740161818905222,0.8023035095587757,0.4922760041194645,0.6101956745623069,0.10490111802569543,0.10373678267118368,0.7222520107238606,0.41152453295884933
euclid_kg,0.004617414248021108,0.027704485488126648,0.009939088872136365,0.01402302889443484,0.040679711637487126,0.05973223480947477,0.0236506043780629,0.02776922287239503,0.09758713136729223,0.03816460274905315
hyp_noR,0.002638522427440633,0.018799472295514513,0.006986849269171169,0.009761420935899877,0.054067971163748715,0.0839340885684861,0.04692368949512632,0.05030284365054922,0.1067024128686327,0.0425124473381846
hyem_no_gate,0.004947229551451188,0.026055408970976253,0.009864880428864598,0.013593015716870268,0.0674562306900103,0.0937178166838311,0.040397388366146134,0.04522122985319782,0.09544235924932976,0.03501042597557343
hyem_hard,0.7077836411609498,0.883575197889182,0.7678792614231269,0.7959539079781038,0.07003089598352215,0.09732234809474768,0.040526033238956524,0.04511857098860487,0.35656836461126007,0.19496425379803398
hyem_soft,0.6705145118733509,0.8776385224274407,0.7424436958160573,0.7753414026624733,0.17610710607621008,0.2255406797116375,0.07531059565785156,0.08099784416384355,0.44932975871313674,0.2094738073960594
