method,QE_hits1,QE_hits10,QE_mrr,QE_ndcg10,QH_parent_hits5,QH_parent_hits10,QH_anc_f1_macro,QH_anc_f1_micro,QM_hits10,QM_mrr
euclid_text,0.6176470588235294,0.8341176470588235,0.6879150326797386,0.723185442775072,0.262,0.392,0.06723647152237543,0.06773488710852149,0.5172413793103449,0.2932225763868766
euclid_kg,0.0058823529411764705,0.05411764705882353,0.01565126050420168,0.024441182593093712,0.09,0.11,0.019943436726746727,0.021364408837096383,0.18052738336713997,0.057561415370745994
hyp_noR,0.00823529411764706,0.04352941176470588,0.016901493930905693,0.0231407892650675,0.06,0.094,0.018333661456243405,0.020636076717649915,0.2028397565922921,0.08353375833091858
hyem_no_gate,0.011764705882352941,0.04470588235294118,0.019473389355742294,0.02535959263687439,0.06,0.088,0.019822610315455923,0.021364408837096383,0.2210953346855984,0.08759377314144048
hyem_hard,0.6176470588235294,0.8341176470588235,0.6879150326797386,0.723185442775072,0.06,0.09,0.020072610315455923,0.021607186210245204,0.4787018255578093,0.2721216072635951
hyem_soft,0.5976470588235294,0.8211764705882353,0.6734514472455648,0.7092474222724254,0.128,0.202,0.04095824135287994,0.04248604030104394,0.4685598377281947,0.2310207991242474
