depth_bucket,mrr,mrr_std,n_queries,depth_min,depth_max,depth_mean,query_type
D1,0.66,0.4279,291,1,3,2.6014,QE
D2,0.6637,0.4184,340,4,4,4.0,QE
D3,0.7064,0.4054,219,5,5,5.0,QE
D1,0.0621,0.1747,170,1,3,2.6176,QH
D2,0.1027,0.2623,197,4,4,4.0,QH
D3,0.0742,0.1832,133,5,5,5.0,QH
D1,0.2164,0.3602,169,1,3,2.6154,QM
D2,0.2156,0.3044,196,4,4,4.0,QM
D3,0.2738,0.3699,128,5,5,5.0,QM
