metric,C_H_only,C_H_union_C_E,pooling_contribution,pct_improvement,euclidean_baseline,gap_to_euclid_no_pool,gap_to_euclid_with_pool
QE_hits10,0.0447058823529411,0.8211764705882353,0.7764705882352941,1736.8421052631606,0.8341176470588235,0.7894117647058824,0.012941176470588234
QE_mrr,0.0194733893557422,0.6734514472455648,0.6539780578898227,3358.316551591885,0.6879150326797386,0.6684416433239965,0.014463585434173809
QH_parent_hits10,0.088,0.202,0.11400000000000002,129.54545454545456,0.392,0.30400000000000005,0.19
QM_hits10,0.2210953346855984,0.4685598377281947,0.24746450304259632,111.92660550458713,0.5172413793103449,0.2961460446247465,0.048681541582150156
