adapter,QE_hits1,QE_hits10,QE_mrr,QE_ndcg10,QH_parent_hits5,QH_parent_hits10,QH_anc_f1_macro,QH_anc_f1_micro,QM_hits10,QM_mrr
linear,0.5976470588235294,0.8211764705882353,0.6734514472455648,0.7092474222724254,0.128,0.202,0.04095824135287994,0.04248604030104394,0.4685598377281947,0.2310207991242474
mlp,0.6070588235294118,0.8282352941176471,0.6779855275443509,0.7140166824459083,0.19,0.276,0.05619246381951457,0.05729546006312212,0.4726166328600406,0.2276747480601436
