adapter,QE_hits1,QE_hits10,QE_mrr,QE_ndcg10,QH_parent_hits5,QH_parent_hits10,QH_anc_f1_macro,QH_anc_f1_micro,QM_hits10,QM_mrr
linear,0.7363636363636363,0.951948051948052,0.8154730983302412,0.8491656014219431,0.16432865731462926,0.23446893787575152,0.09765575305812238,0.10142550775829444,0.5326530612244897,0.25271622934888244
mlp,0.7415584415584415,0.951948051948052,0.816609977324263,0.8497754180022893,0.20841683366733466,0.2905811623246493,0.10703200215582812,0.11050838905008199,0.5387755102040817,0.25588273404599937
