qid,type,rr
QE:HP:0011792:0,QE,1.0
QE:HP:0003840:0,QE,1.0
QE:HP:0003840:1,QE,1.0
QE:HP:6001109:0,QE,1.0
QE:HP:0012274:0,QE,1.0
QE:HP:6000773:0,QE,1.0
QE:HP:0012047:0,QE,1.0
QE:HP:0012047:1,QE,0.0
QE:HP:6000800:0,QE,1.0
QE:HP:0034206:0,QE,0.3333333333333333
QE:HP:0034206:1,QE,0.0
QE:HP:0430118:0,QE,0.5
QE:HP:0430118:1,QE,1.0
QE:HP:6000825:0,QE,1.0
QE:HP:0011876:0,QE,0.1
QE:HP:0041245:0,QE,1.0
QE:HP:0041245:1,QE,1.0
QE:HP:6000021:0,QE,1.0
QE:HP:0000966:0,QE,0.0
QE:HP:0000966:1,QE,1.0
QE:HP:6000894:0,QE,0.25
QE:HP:6000796:0,QE,1.0
QE:HP:6000796:1,QE,1.0
QE:HP:0032484:0,QE,1.0
QE:HP:0032484:1,QE,1.0
QE:HP:0011418:0,QE,0.5
QE:HP:0034892:0,QE,1.0
QE:HP:0034892:1,QE,1.0
QE:HP:6000907:0,QE,1.0
QE:HP:0025156:0,QE,1.0
QE:HP:0025156:1,QE,1.0
QE:HP:0012391:0,QE,0.2
QE:HP:0033013:0,QE,0.3333333333333333
QE:HP:0003111:0,QE,0.125
QE:HP:0003111:1,QE,0.16666666666666666
QE:HP:0034738:0,QE,0.2
QE:HP:0012315:0,QE,1.0
QE:HP:0410253:0,QE,0.3333333333333333
QE:HP:0410253:1,QE,1.0
QE:HP:0040414:0,QE,1.0
QE:HP:0030236:0,QE,1.0
QE:HP:0030236:1,QE,1.0
QE:HP:4000163:0,QE,0.5
QE:HP:4000163:1,QE,1.0
QE:HP:6000507:0,QE,1.0
QE:HP:0033843:0,QE,1.0
QE:HP:0003575:0,QE,1.0
QE:HP:0003575:1,QE,1.0
QE:HP:0000320:0,QE,1.0
QE:HP:0000320:1,QE,1.0
QE:HP:0033587:0,QE,1.0
QE:HP:6001025:0,QE,0.3333333333333333
QE:HP:0012404:0,QE,1.0
QE:HP:0012404:1,QE,1.0
QE:HP:0011793:0,QE,1.0
QE:HP:0003128:0,QE,1.0
QE:HP:0003128:1,QE,0.25
QE:HP:0002522:0,QE,1.0
QE:HP:0002522:1,QE,0.0
QE:HP:0003205:0,QE,0.5
QE:HP:0003205:1,QE,1.0
QE:HP:6000761:0,QE,1.0
QE:HP:6000614:0,QE,0.5
QE:HP:0009819:0,QE,1.0
QE:HP:0008696:0,QE,1.0
QE:HP:0031840:0,QE,0.5
QE:HP:0030807:0,QE,1.0
QE:HP:0001507:0,QE,1.0
QE:HP:0001507:1,QE,1.0
QE:HP:0034839:0,QE,0.0
QE:HP:0430126:0,QE,1.0
QE:HP:6001077:0,QE,1.0
QE:HP:0200114:0,QE,0.25
QE:HP:0005324:0,QE,0.25
QE:HP:0005324:1,QE,0.25
QE:HP:0032107:0,QE,0.1111111111111111
QE:HP:0031878:0,QE,1.0
QE:HP:0100790:0,QE,1.0
QE:HP:0100790:1,QE,1.0
QE:HP:0410021:0,QE,1.0
QE:HP:0410021:1,QE,1.0
QE:HP:6000556:0,QE,1.0
QE:HP:0003637:0,QE,1.0
QE:HP:0003637:1,QE,1.0
QE:HP:0004296:0,QE,1.0
QE:HP:0004296:1,QE,1.0
QE:HP:0034600:0,QE,1.0
QE:HP:0034600:1,QE,1.0
QE:HP:0030720:0,QE,1.0
QE:HP:0031550:0,QE,1.0
QE:HP:0034345:0,QE,1.0
QE:HP:0030828:0,QE,1.0
QE:HP:0030828:1,QE,1.0
QE:HP:0002691:0,QE,1.0
QE:HP:0002691:1,QE,0.16666666666666666
QE:HP:4000207:0,QE,1.0
QE:HP:0010947:0,QE,1.0
QE:HP:0030930:0,QE,1.0
QE:HP:0001876:0,QE,0.1
QE:HP:0001876:1,QE,0.2
QE:HP:0012874:0,QE,1.0
QE:HP:0012874:1,QE,1.0
QE:HP:0200046:0,QE,0.2
QE:HP:0200046:1,QE,1.0
QE:HP:0004404:0,QE,1.0
QE:HP:0004404:1,QE,1.0
QE:HP:0030366:0,QE,1.0
QE:HP:0005656:0,QE,0.5
QE:HP:6000847:0,QE,0.5
QE:HP:0033992:0,QE,1.0
QE:HP:0032527:0,QE,0.25
QE:HP:0032527:1,QE,0.2
QE:HP:0030178:0,QE,0.5
QE:HP:0030178:1,QE,1.0
QE:HP:0008057:0,QE,1.0
QE:HP:0008057:1,QE,1.0
QE:HP:0009768:0,QE,1.0
QE:HP:0009768:1,QE,1.0
QE:HP:0025326:0,QE,1.0
QE:HP:0025326:1,QE,1.0
QE:HP:0001600:0,QE,1.0
QE:HP:0001600:1,QE,1.0
QE:HP:0001430:0,QE,1.0
QE:HP:0001430:1,QE,1.0
QE:HP:0031911:0,QE,1.0
QE:HP:0003456:0,QE,1.0
QE:HP:0032997:0,QE,1.0
QE:HP:0032997:1,QE,1.0
QE:HP:0031885:0,QE,1.0
QE:HP:0031885:1,QE,1.0
QE:HP:0031816:0,QE,1.0
QE:HP:0025401:0,QE,1.0
QE:HP:0025401:1,QE,1.0
QE:HP:0008155:0,QE,1.0
QE:HP:0006683:0,QE,0.5
QE:HP:0000341:0,QE,1.0
QE:HP:0000341:1,QE,0.125
QE:HP:6001251:0,QE,1.0
QE:HP:6001251:1,QE,1.0
QE:HP:0033202:0,QE,1.0
QE:HP:0012067:0,QE,1.0
QE:HP:0012067:1,QE,1.0
QE:HP:0010884:0,QE,0.0
QE:HP:6000195:0,QE,1.0
QE:HP:0033134:0,QE,0.16666666666666666
QE:HP:0033134:1,QE,0.3333333333333333
QE:HP:0034974:0,QE,1.0
QE:HP:0100270:0,QE,1.0
QE:HP:0430074:0,QE,1.0
QE:HP:0001615:0,QE,1.0
QE:HP:0001615:1,QE,1.0
QE:HP:6000900:0,QE,1.0
QE:HP:0032968:0,QE,0.25
QE:HP:0031135:0,QE,1.0
QE:HP:0031135:1,QE,1.0
QE:HP:6000533:0,QE,1.0
