method,QE_hits1,QE_hits10,QE_mrr,QE_ndcg10,QH_parent_hits5,QH_parent_hits10,QH_anc_f1_macro,QH_anc_f1_micro,QM_hits10,QM_mrr
euclid_text,0.8155844155844156,0.9688311688311688,0.8688878581735725,0.8931534509395763,0.40480961923847697,0.5230460921843687,0.10745774284352484,0.11101299356629242,0.6387755102040816,0.34720764496274703
euclid_kg,0.00909090909090909,0.048051948051948054,0.021067821067821065,0.027452300808427053,0.014028056112224449,0.028056112224448898,0.021904050172311104,0.023716412261889745,0.15918367346938775,0.0695861678004535
hyp_noR,0.00909090909090909,0.048051948051948054,0.019578437435580295,0.026223379767268046,0.03006012024048096,0.050100200400801605,0.06186660535028729,0.06433707581682856,0.16122448979591836,0.0675105280207321
hyem_no_gate,0.00909090909090909,0.045454545454545456,0.016280148423005566,0.022915793254456064,0.028056112224448898,0.04809619238476954,0.04059584111285332,0.04213447710357008,0.16326530612244897,0.07966391318432134
hyem_hard,0.8155844155844156,0.9688311688311688,0.8688878581735725,0.8931534509395763,0.028056112224448898,0.04809619238476954,0.04059584111285332,0.04213447710357008,0.5877551020408164,0.3197708130871396
hyem_soft,0.7363636363636363,0.951948051948052,0.8154730983302412,0.8491656014219431,0.16432865731462926,0.23446893787575152,0.09765575305812238,0.10142550775829444,0.5326530612244897,0.25271622934888244
