perturbation,accuracy,precision_qh,recall_qh,n_samples,n_qh,n_qe
original,1.0,1.0,1.0,1269,499,770
noise_0.10,0.9085894405043341,0.9922879177377892,0.7735470941883767,1269,499,770
noise_0.20,0.7746256895193065,0.9456066945606695,0.4529058116232465,1269,499,770
noise_0.30,0.6989755713159969,0.838150289017341,0.2905811623246493,1269,499,770
